title,author,score,year,image
"The English Assassin (Gabriel Allon, #2)",Daniel Silva,4.16,2002,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1559334947i/93795.jpg
Pompeii,Robert   Harris,3.86,2003,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388189565i/880.jpg
Notorious RBG: The Life and Times of Ruth Bader Ginsburg,Irin Carmon,4.19,2015,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1429924065i/25422234.jpg
The Abolition of Man,C.S. Lewis,4.11,1943,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1435685201i/25825420.jpg
Portrait of a Murderer,Anne  Meredith (Pseudonym),3.38,1933,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1492279394i/34862885.jpg
"Filboid Studge, The Story of a Mouse That Helped",Saki,3.66,1911,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328028392i/10548737.jpg
"The Witch Doesn't Burn in This One (Women Are Some Kind of Magic, #2)",Amanda Lovelace,3.73,2018,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1675245431i/35924698.jpg
Death in Midsummer and Other Stories,Yukio Mishima,4.03,1953,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442620265i/574927.jpg
The Hours,Michael Cunningham,3.95,1998,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479663379i/11899.jpg
Consider Her Ways and Others,John Wyndham,3.75,1956,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387746770i/163906.jpg
The House in Good Taste,Elsie De Wolfe,3.77,1913,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388338376i/344952.jpg
Hawaiian Legends of Volcanoes,William Drake Westervelt,3.73,1916,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1266680071i/6401875.jpg
Don'ts For Husbands,Blanche Ebbutt,3.7,1913,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1436656579i/1382553.jpg
Ariadne,Jennifer Saint,3.8,2021,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1601959039i/54860614.jpg
In the Miso Soup,Ryū Murakami,3.62,1997,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309282509i/17810.jpg
Found Treasure,Grace Livingston Hill,4.2,1928,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1450803663i/574028.jpg
The Casuarina Tree,W. Somerset Maugham,4.2,1926,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1179194622i/887838.jpg
Columbine,Dave Cullen,4.29,2009,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442939134i/5632446.jpg
Honor Among Thieves,Jeffrey Archer,3.87,1993,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1316131242i/79006.jpg
Fever (A Medical Thriller),Robin Cook,3.79,1982,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389786400i/66468.jpg
The Bridges at Toko-ri,James A. Michener,4.05,1953,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1333665295i/787184.jpg
Women Don't Owe You Pretty,Florence Given,3.73,2020,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1621185184i/52252715.jpg
The Rapture of Canaan,Sheri Reynolds,3.83,1995,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442420479i/5180.jpg
"The World's Greatest Books, Volume 6: Fiction",Arthur Mee (Editor),3.52,1910,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328307034i/6301269.jpg
Psychology: Themes and Variations,Wayne Weiten,3.73,1900,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1266539763i/384399.jpg
Quicksand,Jun'ichirō Tanizaki,3.66,1928,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1597528554i/34460.jpg
The Traveller's Tree: A Journey Through the Caribbean Islands (New York Review Books Classics),Patrick Leigh Fermor,3.87,1950,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657538123i/9838317.jpg
The Biography of a Silver Fox,Ernest Thompson Seton,4.45,1909,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349014609i/1644867.jpg
Less Than Zero,Bret Easton Ellis,3.6,1985,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1443060100i/9915.jpg
"Lion of Ireland (Celtic World of Morgan Llywelyn, 5)",Morgan Llywelyn,4.14,1980,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1312057693i/300932.jpg
Joyful Noise: Poems for Two Voices,Paul Fleischman,3.98,1988,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347446165i/160192.jpg
Coming of Age in Mississippi: The Classic Autobiography of a Young Black Girl in the Rural South,Anne Moody,4.12,1968,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388197413i/5736.jpg
The Nice Old Man and the Pretty Girl,Italo Svevo,3.11,1926,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348072026i/8630503.jpg
"Heroes Die (The Acts of Caine, #1)",Matthew Woodring Stover,4.09,1998,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403193753i/311864.jpg
"Debt: The First 5,000 Years",David Graeber,4.21,2011,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1390408633i/6617037.jpg
One Last Breath,Ginny Myers Sain,3.9,2024,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1686155533i/174156090.jpg
"Blood: The Science, Medicine, and Mythology of Menstruation",Jen Gunter,4.25,2024,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1684819411i/75496481.jpg
Désirée,Annemarie Selinko,4.14,1951,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1171048586i/84049.jpg
"Echo Park (Harry Bosch, #12; Harry Bosch Universe, #17)",Michael Connelly,4.17,2006,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1168391416i/32501.jpg
"The Phantom of Pine Hill (Nancy Drew Mystery Stories, #42)",Carolyn Keene,3.89,1965,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1459459650i/862011.jpg
Goodbye,Osamu Dazai,3.69,1948,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1428454715i/25317881.jpg
Why Revival Tarries: A Classic on Revival,Leonard Ravenhill,4.52,1959,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348963060i/351036.jpg
The Red One,Jack London,3.47,1918,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1238530188i/6371979.jpg
Drawing Dynamic Hands,Burne Hogarth,4.09,1977,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320507201i/1045908.jpg
Frida Kahlo: 1907-1954 Pain and Passion,Andrea Kettenmann,4.21,1993,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1365526293i/772976.jpg
"Hateship, Friendship, Courtship, Loveship, Marriage: Stories",Alice Munro,4.04,2001,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1494106094i/111126.jpg
Young Lonigan,James T. Farrell,3.46,1932,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309210834i/169810.jpg
"Enclave (Razorland, #1)",Ann Aguirre,3.91,2011,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327877657i/7137327.jpg
The Palm-Wine Drinkard & My Life in the Bush of Ghosts,Amos Tutuola,3.86,1952,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348031576i/303496.jpg
Brief Answers to the Big Questions,Stephen Hawking,4.28,2018,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1536862019i/40277241.jpg
"Blue Hat, Green Hat",Sandra Boynton,4.23,1984,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1437840712i/252268.jpg
The Haunted Woman,David  Lindsay,3.75,1922,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347714274i/938949.jpg
"The Eye in the Pyramid (Illuminatus, #1)",Robert Shea,3.82,1975,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1326162757i/241879.jpg
"The Dead Girls' Dance (The Morganville Vampires, #2)",Rachel Caine,4.04,2007,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388182865i/261122.jpg
